City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Atuona,PF,78.4,broken clouds,-9.8,-139.0333,Villa Enata
3,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
6,Hithadhoo,MV,81.32,few clouds,-0.6,73.0833,Scoop Guest House
8,Dalby,AU,78.31,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
18,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
19,Kapaa,US,77.32,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Puerto Princesa,PH,84.18,broken clouds,9.7392,118.7353,Deep Forest Garden Inn
27,Dafeng,CN,76.46,overcast clouds,23.4517,108.5881,Shenglong Hotel
28,Lorengau,PG,85.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
35,Gorontalo,ID,86.85,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
37,Sinnamary,GF,78.55,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
45,Vaini,TO,78.1,clear sky,-21.2,-175.2,Keleti Beach Resort
47,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
52,Mandera,KE,78.35,clear sky,3.9366,41.867,Red Sea Resort & Suites Mandera County
58,Hambantota,LK,79.48,overcast clouds,6.1241,81.1185,Bungalow 63
59,San Borja,BO,77.43,overcast clouds,-14.8167,-66.85,
64,Port-Gentil,GA,76.77,light rain,-0.7193,8.7815,Fengshui Residence
65,Layou,VC,77.76,few clouds,13.2,-61.2667,Grace And Truth Campsite
67,Wahiawa,US,79.12,scattered clouds,21.5028,-158.0236,The Inn At Schofield
82,Bengkulu,ID,82.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Dingle,PH,77.94,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
86,Cancun,MX,78.73,light rain,21.1743,-86.8466,Hotel Tankah Cancun
89,Cockburn Town,TC,81.45,clear sky,21.4612,-71.1419,Osprey Beach Hotel
94,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
96,Hilo,US,79.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
97,Nong Bua,TH,86.9,overcast clouds,15.8646,100.5858,ลภัสรดารีสอร์ท
99,Butaritari,KI,80.96,broken clouds,3.0707,172.7902,Isles Sunset Lodge
107,Sao Filipe,CV,78.55,broken clouds,14.8961,-24.4956,Hotel Xaguate
114,Airai,TL,78.24,few clouds,-8.9266,125.4092,
116,Sola,VU,84.87,clear sky,-13.8833,167.55,Leumerus Bungalows
118,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
120,Alice Springs,AU,83.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
122,Kavieng,PG,85.24,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
126,Hobyo,SO,80.51,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
131,Seddon,AU,77.02,few clouds,-37.8068,144.8916,Footscray Motor Inn
136,Gizo,SB,84.13,light rain,-8.103,156.8419,Imagination Island
137,Victoria,HK,82.04,clear sky,22.2855,114.1577,Mini Central
143,Salalah,OM,75.25,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
145,Tampakan,PH,88.09,overcast clouds,6.4442,124.9264,RELAJARSE HOTEL
159,Acarau,BR,78.84,scattered clouds,-2.8856,-40.12,castelo pizzaria
167,Edd,ER,81.77,clear sky,13.9297,41.6925,
168,Itarema,BR,78.94,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
169,Gwadar,PK,76.89,clear sky,25.1216,62.3254,Sadaf Resort
170,Matara,LK,80.28,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
182,Luwuk,ID,82.99,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
183,Sorong,ID,84.09,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
191,Bubaque,GW,83.07,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
193,Longhua,CN,85.93,clear sky,23.6137,114.1919,Huadu Hotel
195,Lethem,GY,81.12,moderate rain,3.3803,-59.7968,Savannah Inn
201,Luba,GQ,78.42,light rain,3.4568,8.5547,
205,Witu,KE,75.36,overcast clouds,-2.3889,40.4382,
213,Kulhudhuffushi,MV,81.97,clear sky,6.6221,73.07,Haajy Guest House 1
220,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
